RunID,Judged,Topics,Retrieve,RelevantRetrieve,RelevantTopic,MAP,MeanBpref,MeanNDCG@10,MeanNDCG@20,MeanRBP(p=0.5),P@5,P@10,P@15,P@20,P@30,ExactPrecision
combined,no,40,36265,2714,4698,0.2426,0.5068,0.6956,,0.7443+0.0319,0.795,0.7375,0.6683,0.585,0.5025,0.3028
covidex.r3.duot5,no,40,38612,3024,4698,0.2676,0.5261,0.6626,,0.7571+0.0853,0.77,0.685,0.6483,0.6013,0.5483,0.3238
covidex.r3.monot5,no,40,38612,3024,4698,0.2635,0.5254,0.6596,,0.7356+0.0654,0.78,0.7,0.6467,0.6025,0.525,0.3223
covidex.r3.t5,yes,40,38612,3024,4698,0.3333,0.5543,0.774,,0.8068+0.0225,0.86,0.845,0.765,0.725,0.6408,0.3772
crowdPRF,no,40,39930,2793,4698,0.232,0.4914,0.6027,,0.6640+0.0289,0.695,0.6675,0.63,0.58,0.5117,0.2961
Emory,yes,40,39944,3001,4698,0.2132,0.5444,0.5867,,0.6114+0.0303,0.715,0.67,0.5433,0.4763,0.4175,0.2606
Emory,no,40,39944,3001,4698,0.2132,0.5444,0.5867,,0.6114+0.0303,0.715,0.67,0.5433,0.4763,0.4175,0.2606
fusionousion,no,40,39915,3290,4698,0.3057,0.5472,0.6495,,0.6632+0.0600,0.745,0.7275,0.6817,0.6475,0.5892,0.3446
fusionofruns,yes,40,39916,3295,4698,0.3084,0.5487,0.6564,,0.6692+0.0581,0.735,0.74,0.685,0.6587,0.5975,0.3483
mpiid5,yes,40,39873,3439,4698,0.301,0.6084,0.706,,0.7012+0.0142,0.78,0.7825,0.675,0.615,0.5358,0.3564
mpiid5,no,40,39939,3367,4698,0.3193,0.5947,0.7235,,0.7935+0.0181,0.83,0.755,0.7017,0.6613,0.6,0.3569
mpiid5,no,40,39927,3335,4698,0.2317,0.5935,0.3583,,0.3458+0.4381,0.425,0.4125,0.4133,0.3975,0.3758,0.3248
OHSU,no,40,39911,3435,4698,0.3244,0.5828,0.6816,,0.7420+0.0441,0.79,0.745,0.705,0.6537,0.5967,0.3655
r3.fusion2,no,40,39911,3057,4698,0.2641,0.4953,0.61,,0.6586+0.0373,0.715,0.6675,0.6267,0.6087,0.55,0.3127
r3.rf,yes,40,39888,2972,4698,0.2817,0.5204,0.6883,,0.7284+0.0251,0.795,0.7725,0.7433,0.6863,0.6033,0.3211
sab20.3.dfo,yes,40,39913,3359,4698,0.3147,0.5872,0.7029,,0.7396+0.0430,0.795,0.7825,0.715,0.6663,0.6092,0.3653
sab20.3.metadocs,no,40,39932,3174,4698,0.26,0.5202,0.6032,,0.6640+0.0828,0.69,0.66,0.6117,0.5887,0.5458,0.3136
sab20.3.rocchio,no,40,39927,3341,4698,0.3077,0.5636,0.673,,0.7216+0.0649,0.785,0.7425,0.6817,0.6363,0.605,0.355
SFDC-e23-f12-re-tf3,no,40,39934,3362,4698,0.3098,0.5665,0.6716,,0.6914+0.0368,0.775,0.7475,0.705,0.6613,0.6008,0.35
SFDC-fus12-enc23-tf3,yes,40,39934,3362,4698,0.316,0.566,0.6867,,0.7227+0.0179,0.78,0.76,0.7017,0.6613,0.6167,0.3531
SFDC-fus12-enc3-tf3,no,40,39921,3355,4698,0.3182,0.5509,0.6716,,0.7052+0.0101,0.765,0.7375,0.715,0.67,0.6225,0.3622
sparse-dense-0.45,no,40,39923,3109,4698,0.2778,0.5364,0.6698,,0.7400+0.0539,0.745,0.705,0.665,0.62,0.5708,0.3272
sparse-dense-SBrr-2,yes,40,39905,3250,4698,0.3134,0.5419,0.7272,,0.7675+0.0257,0.8,0.7725,0.71,0.6675,0.5992,0.3505
sparse-dense-SBrr-3,no,40,39909,3256,4698,0.3099,0.5553,0.7051,,0.7953+0.0266,0.825,0.73,0.7067,0.6537,0.5875,0.3536
TF,yes,40,34545,2993,4698,0.2902,0.5357,0.6818,,0.7270+0.0237,0.79,0.7775,0.7183,0.66,0.5942,0.3362
udel,no,40,39904,3192,4698,0.321,0.5736,0.7243,,0.7691+0.0288,0.865,0.81,0.7633,0.7312,0.65,0.355
udel,no,40,39891,2905,4698,0.269,0.5037,0.6366,,0.7112+0.0693,0.775,0.6975,0.6733,0.6388,0.5758,0.317
udel,yes,40,39904,3192,4698,0.3238,0.5764,0.7567,,0.7779+0.0272,0.89,0.85,0.795,0.7325,0.6467,0.357
UIowaS,no,40,39907,3190,4698,0.3207,0.5778,0.7658,,0.7965+0.0411,0.89,0.845,0.77,0.7312,0.6492,0.3585
UIowaS,yes,40,39907,3190,4698,0.267,0.5995,0.7175,,0.7405+0.0467,0.8,0.7925,0.6817,0.6238,0.5425,0.3186
